,Общая,Жилая,Этаж,Тип жилья,Высота потолков,Санузел,Балкон/лоджия,Цена,Комнат,Район,Линк,Кухня,Срок сдачи,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Построен,Ремонт,Вид из окон,Отделка
1,41,30,2,Вторичка,"2,75 м",1 совмещенный,1 балкон,1970000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/241860530/,,,,,,,
2,27,13,6,Вторичка,,1 совмещенный,1 балкон,1595000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/236865610/,6,,,,,,
3,32,18,3,Вторичка,"2,55 м",1 совмещенный,1 балкон,1600000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222097040/,6,,,,,,
4,23,17,1,Вторичка,,1 совмещенный,1 балкон,1670000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/241462183/,,,,,,,
5,32,18,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1660000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/245137090/,6,,,,,,
6,29,18,2,Вторичка,,1 совмещенный,1 лоджия,1440000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/236939905/,6,,,,,,
7,62,19,12,Новостройка,,1 совмещенный,1 балкон,2529400,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/240663999/,12,4,19.66 м²,,,,
8,28,14,5,Вторичка,"2,6 м",1 совмещенный,,1100000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/240447836/,6,,,,,,
9,38,19,13,Вторичка,,1 раздельный,,2200000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222096912/,11,,,,,,
10,35,19,5,Вторичка,"2,8 м",1 раздельный,,850000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/222096069/,6,,,,,,
11,35,19,5,Вторичка,"2,8 м",1 раздельный,1 лоджия,1000000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243208291/,8,,,,,,
12,31,14,1,Вторичка,"2,55 м",1 раздельный,,1220000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/238131987/,9,,,,,,
13,32,19,2,Вторичка,"2,65 м",1 совмещенный,,1270000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/227293201/,6,,,,,,
14,66,,9,Новостройка,,,,2710600,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/240664003/,,4,,,,,
15,50,21,9,Вторичка,"2,75 м",1 совмещенный,1 балкон,2500000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/228861985/,12,,,,,,
16,38,18,3,Вторичка,"2,75 м",1 совмещенный,1 лоджия,1920000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/243668959/,9,,,,,,
17,31,18,1,Вторичка,"2,55 м",1 совмещенный,,1890000,1-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/227439581/,6,,,,,,
18,55,,1,Новостройка,,,,2780000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242050094/,,2,,,,,
19,30,16,4,Вторичка,"2,6 м",1 совмещенный,1 балкон,1360000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222086065/,6,,,,,,
20,30,18,4,Вторичка,"2,55 м",1 совмещенный,,1620000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244490109/,6,,,,,,
21,29,14,1,Вторичка,,1 совмещенный,,1250000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/235297487/,4,,,,,,
22,31,18,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1170000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/233801547/,6,,,,,,
23,34,18,4,Вторичка,,1 совмещенный,1 лоджия,2570000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/239671943/,10,,,,,,
24,30,18,4,Вторичка,"2,6 м",1 совмещенный,1 балкон,1350000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/233186507/,6,,,,,,
