,Общая,Этаж,Срок сдачи,Тип жилья,Цена,Комнат,Район,Линк,Жилая,Кухня,Санузел,Балкон/лоджия,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Высота потолков,Построен,Ремонт,Вид из окон,Планировка,Отделка
1,73,19,4,Новостройка,3504000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242863764/,,,,,,,,,,,
2,51,5,4,Новостройка,2829850,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/235793172/,,,,,,,,,,,
3,57,5,,Вторичка,2670000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/222096080/,36,7,1 совмещенный,1 лоджия,,,,,,,
4,57,1,4,Новостройка,2866000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/237044143/,35,11,1 совмещенный,,15.01-20.03 м²,,,,,,
5,66,2,,Вторичка,2150000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/234738941/,39,10,1 раздельный,,,3 м,,,,,
6,44,2,,Вторичка,2800000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/245845244/,28,8,1 раздельный,1 балкон,,,,,,,
7,87,12,4,Новостройка,3553800,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/240663991/,34,9,1 раздельный,"1 балкон, 1 лоджия",20.02-14.18 м²,,,,,,
8,35,4,,Вторичка,1520000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/242795815/,23,5,1 совмещенный,,,,,,,,
9,50,8,,Вторичка,2400000,2-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/239671964/,29,6,1 раздельный,1 лоджия,,"2,75 м",,,,,
10,42,2,,Вторичка,1899000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/233108616/,28,6,1 совмещенный,,,"2,55 м",,,,,
11,43,3,,Вторичка,2270000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/224846880/,29,6,1 совмещенный,,,,,,,,
12,53,10,,Вторичка,2800000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222089930/,39,6,1 раздельный,1 балкон,,"2,6 м",,,,,
13,44,5,,Вторичка,1800000,2-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/226104846/,30,5,1 раздельный,,,,,,,,
14,50,2,,Вторичка,3100000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222091528/,30,8,1 раздельный,1 балкон,,"2,75 м",,,,,
15,54,3,,Вторичка,3050000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222096621/,29,12,1 раздельный,,,"2,75 м",,,,,
16,41,5,,Вторичка,1880000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/230393699/,27,6,1 раздельный,1 балкон,,,,,,,
17,88,3,4,Новостройка,3555800,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/240664013/,34,9,1 раздельный,2 балкона,14.18-20.02 м²,,,,,,
18,51,1,,Вторичка,2000000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/241548016/,34,8,1 совмещенный,,,"2,75 м",,,,,
19,40,3,,Вторичка,1750000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/236244699/,28,6,1 совмещенный,,,"2,6 м",,,,,
20,42,4,,Вторичка,1800000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/238425724/,29,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
21,47,2,,Вторичка,2200000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/241462178/,33,6,1 раздельный,1 балкон,,,,,,,
22,42,2,,Вторичка,1880000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/232394853/,30,6,1 совмещенный,,,"2,6 м",,,,,
23,45,8,,Вторичка,2370000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222096939/,28,6,1 раздельный,,,,,,,,
24,38,2,,Вторичка,970000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222096678/,28,5,1 совмещенный,,,,,,,,
25,45,4,,Вторичка,2700000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/244618878/,23,9,1 раздельный,1 лоджия,,"2,75 м",,,,,
26,39,3,,Вторичка,1670000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222092293/,22,6,1 совмещенный,,,"2,55 м",,,,,
27,41,2,,Вторичка,1560000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222091138/,28,6,1 совмещенный,,,"2,55 м",,,,,
28,47,8,,Вторичка,3100000,2-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/246167755/,29,7,1 раздельный,1 балкон,,,1994,Евроремонт,На улицу,,
29,73,19,4,Новостройка,3504000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242863764/,,,,,,,,,,,
30,51,5,4,Новостройка,2829850,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/235793172/,,,,,,,,,,,
