,Общая,Жилая,Кухня,Этаж,Срок сдачи,Тип жилья,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Санузел,Балкон/лоджия,Цена,Комнат,Район,Высота потолков,Построен,Планировка,Ремонт,Вид из окон,Отделка,Линк
1,141,72.0,37.0,1,3.0,Новостройка,35.40-20.04-16.86 м²,1 раздельный,3 балкона,6213680,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/214964186/
2,69,49.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,1750000,3-комн.,р-н Тракторозаводский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222092893/
3,99,52.0,12.0,13,,Вторичка,,,2 лоджии,7800000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/222095617/
4,54,41.0,5.0,3,,Вторичка,,1 совмещенный,,2190000,3-комн.,р-н Кировский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/222088954/
5,55,40.0,5.0,4,,Вторичка,,1 совмещенный,1 балкон,2250000,3-комн.,р-н Советский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/226427675/
6,78,48.0,20.0,16,,Вторичка,,1 раздельный,,6300000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/222095361/
7,51,32.0,6.0,3,,Вторичка,,1 раздельный,1 балкон,1750000,3-комн.,р-н Тракторозаводский,,,,,,,https://volgograd.cian.ru/sale/flat/234258897/
8,76,50.0,12.0,8,,Вторичка,,1 совмещенный,"1 балкон, 1 лоджия",4600000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/242707037/
9,64,40.0,9.0,7,,Вторичка,,1 раздельный,1 балкон,3550000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/235488141/
10,78,49.0,11.0,1,4.0,Новостройка,15.68-13.59-20.03 м²,1 раздельный,,3947000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/238505329/
11,55,38.0,7.0,3,,Вторичка,,1 раздельный,1 лоджия,2950000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/238703375/
12,80,49.0,12.0,2,,Вторичка,,1 раздельный,1 лоджия,4980000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/233685475/
13,83,25.0,40.0,19,,Вторичка,,,,9900000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/222096318/
14,57,41.0,7.0,2,,Вторичка,,1 раздельный,2 балкона,1870000,3-комн.,р-н Ворошиловский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222091003/
15,54,38.0,6.0,3,,Вторичка,,1 раздельный,1 лоджия,3070000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/236703600/
16,60,42.0,8.0,1,,Вторичка,,1 раздельный,,3500000,3-комн.,р-н Центральный,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/222086179/
17,66,40.0,9.0,5,,Вторичка,,1 раздельный,1 балкон,3480000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242375259/
18,63,42.0,9.0,8,,Вторичка,,1 раздельный,1 лоджия,3100000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/239788201/
